""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"MYBL2"	-0.929186799159407	0.468088244842314	-3.22778053589292	0.00214996970224233	0.0179747189783754	-1.95963820802607	"c3 vs. c4"	0.0317713147027089	0.960958113862116
"RXRA"	-1.22562889243883	0.504904333925081	-3.20929669195015	0.00226865385163961	0.0179747189783754	-2.00943676516217	"c3 vs. c4"	0.0776443596200085	1.30327325205884
"MAX"	0.970896182945263	0.588554043029235	2.92921269376155	0.00501496589992494	0.0368958205494478	-2.73991751295245	"c3 vs. c4"	1.03899057325156	0.0680943903062947
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"STAT5A"	1.31517089563317	0.589696363590567	5.99440061078529	1.89414072020877e-07	1.53699153920406e-05	6.96410819593585	"c3 vs. c5"	1.45848115940974	0.14331026377657
"NR2F2"	1.16504806535525	0.403083554601956	5.78690576213954	4.03351525567516e-07	1.53699153920406e-05	6.23068072008586	"c3 vs. c5"	1.32098342096486	0.155935355609607
"PML"	1.22468970857487	0.600280969563611	5.7581961883534	4.47667438603123e-07	1.53699153920406e-05	6.12959996920522	"c3 vs. c5"	1.4761852270008	0.25149551842593
"GATA2"	1.41394697221419	0.513073811350122	5.57824849091359	8.5855095571573e-07	2.210768710968e-05	5.49856042577735	"c3 vs. c5"	1.67475084761414	0.260803875399958
"TAL1"	1.16494916397736	0.483697172956424	4.10155964005846	0.000143060693319401	0.00249010024304727	0.580473570550899	"c3 vs. c5"	1.48356895486799	0.318619790890624
"GATA1"	1.63729889700495	0.611172004902522	4.09732636746688	0.000145054383090132	0.00249010024304727	0.56731360237398	"c3 vs. c5"	2.01474632597304	0.377447428968086
"SMARCA4"	0.989519026012493	0.329399740278937	3.88354044450393	0.000289420579928637	0.00425861710466423	-0.0880096814050138	"c3 vs. c5"	1.1593208714104	0.169801845397906
"CCNT2"	0.848245311332778	0.427354565005202	3.49641103599428	0.000966983058368885	0.0124499068764994	-1.22392187611464	"c3 vs. c5"	1.20987720519703	0.361631893864248
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RELA"	-1.3135402865742	0.3787565409306	-5.48368993302209	1.20686199416149e-06	0.000120432567058631	5.21735674191751	"c4 vs. c2"	0.0461499030592813	1.35969018963348
"RUNX3"	-1.18993637432429	0.404093899906527	-5.29896719846501	2.33849644774041e-06	0.000120432567058631	4.58028932348821	"c4 vs. c2"	0.152645052669164	1.34258142699346
"MEF2C"	-0.89391806040575	0.2135261881177	-4.92534849672	8.7530526934675e-06	0.000300521475809051	3.31207657355638	"c4 vs. c2"	0	0.89391806040575
"NFATC1"	-1.35108337270399	0.426431437351889	-4.80028813816386	1.35296903558143e-05	0.000348389526662218	2.89468914540717	"c4 vs. c2"	0.120896903676188	1.47198027638018
"ATF2"	-0.977356513460262	0.402493588980431	-4.29941645878551	7.44309192923999e-05	0.00133968497414889	1.26711199288725	"c4 vs. c2"	0.216945554980712	1.19430206844097
"MTA3"	-1.39589054983961	0.462633162869106	-4.25450780691884	8.64246396958678e-05	0.00133968497414889	1.12509028698287	"c4 vs. c2"	0.188513912945943	1.58440446278555
