alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
EGR1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.411541430955	-1.0	0.146234380392	-1.0	-1.0	0.308383567471	-1.0	-1.0	0.502436402579	-1.0	0.155911824443	-1.0	-1.0	-1.0	-1.0	0.126583121719	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.264668271864	-1.0	-1.0	-1.0	-1.0	0.220968194855	-1.0	-1.0	-1.0	-1.0
FOXP2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.176315986257	-1.0	-1.0	-1.0	0.0443871625219	-1.0	-1.0	0.418538218574	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0997961571833	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.212436910808	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
TBL1XR1	-1.0	-1.0	-1.0	-1.0	-1.0	0.209730194891	-1.0	-1.0	-1.0	-1.0	-1.0	0.145169082552	0.140778841164	-1.0	-1.0	-1.0	-1.0	-1.0	0.187326739085	-1.0	-1.0	0.152637602453	-1.0	-1.0	-1.0	-1.0	0.0458293461065	-1.0	-1.0	-1.0	0.252861236611	-1.0	0.128769396759	-1.0	-1.0	-1.0	-1.0	-1.0
FAM48A	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BCL3	-1.0	-1.0	-1.0	-1.0	-1.0	0.209730194891	-1.0	-1.0	0.175909873351	-1.0	-1.0	0.0366413162408	-1.0	-1.0	0.193785623485	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.252861236611	-1.0	0.00715091153498	-1.0	-1.0	-1.0	-1.0	-1.0
SMARCB1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0152831381405	-1.0	-1.0	0.320767639008	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.151215230811	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ELK1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.123762376238	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
RCOR1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.285293563276	-1.0	-1.0	-1.0	-1.0	0.00119503757671	0.161394515524	-1.0	-1.0	-1.0	0.302396110251	-1.0	-1.0	0.249889664041	0.46665489377	-1.0	-1.0	-1.0	0.46665489377	0.302396110251	0.129733560679	-1.0	-1.0	-1.0	0.212828597846	-1.0	-1.0	-1.0	0.36700674431	-1.0
TAF1	0.139700771957	0.27254745246	-1.0	-1.0	-1.0	-1.0	0.507551688032	-1.0	-1.0	-1.0	-1.0	0.651382476768	-1.0	-1.0	0.0529050869348	-1.0	-1.0	-1.0	0.202621718902	0.0722580358192	-1.0	0.165395881965	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.283639486221	-1.0	-1.0	-1.0	-1.0
SPI1	-1.0	-1.0	-1.0	-1.0	0.230473139215	0.290687556986	-1.0	0.359749559244	-1.0	-1.0	-1.0	1.0	0.198599634256	-1.0	-1.0	-1.0	0.261155223451	-1.0	-1.0	-1.0	0.410405386012	-1.0	0.410405386012	-1.0	-1.0	-1.0	0.410405386012	-1.0	-1.0	0.0216279098253	-1.0	-1.0	-1.0	0.359749559244	0.359749559244	-1.0	-1.0	-1.0
SRF	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
POLR3G	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
RAD21	0.222805421701	-1.0	-1.0	-1.0	-1.0	-1.0	-0.622078020026	0.100026583019	0.297975299796	-1.0	-1.0	0.296161618119	-1.0	-1.0	0.054178280866	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.261298186261	0.484230271162	-1.0	-1.0	-1.0	0.484230271162	-1.0	0.49742131282	-1.0	-1.0	0.261298186261	-1.0	0.428103056483	-1.0	-1.0	0.382249927907	0.315658541615
REST	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.21863178249	-1.0	-1.0	0.399944663571	-1.0	-1.0	-1.0	-1.0	0.232409055846	-1.0	0.232409055846	-1.0	-1.0	0.190385735049	0.36978227547	-1.0	-1.0	-1.0	-1.0	-1.0	0.38106494573	-1.0	0.310447819851	-1.0	0.161193978232	0.052851452679	-1.0	-1.0	-1.0	-1.0
TEAD4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.619258843966	0.0915042840016	0.0403039857396	-1.0	-1.0	0.720151971723	-1.0	0.212828597846	0.161394515524	-1.0	0.302396110251	-1.0	0.302396110251	-1.0	-1.0	0.249889664041	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.129733560679	-1.0	0.397144916956	-1.0	-1.0	0.0915042840016	-1.0	-1.0	-1.0	-1.0
