Bone_mineral_density	Red_blood_cell_traits	Vitiligo	HDL_cholesterol	Platelet_counts	Primary_biliary_cirrhosis	Type_1_diabetes	Renal_function_related_traits_BUN	Alopecia_areata	Ankylosing_spondylitis	Multiple_sclerosis	Rheumatoid_arthritis	Kawasaki_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	C_reactive_protein	LDL_cholesterol	Ulcerative_colitis	Restless_legs_syndrome	Urate_levels	Celiac_disease	Crohns_disease	Behcets_disease	Systemic_lupus_erythematosus	Atopic_dermatitis	Triglycerides	Psoriasis	Primary_sclerosing_cholangitis	Migraine	Allergy	Chronic_kidney_disease	Fasting_glucose_related_traits	Autoimmune_thyroiditis	Alzheimers_combined	Type_2_diabetes	Systemic_sclerosis	Asthma	Creatinine_levels	Progressive_supranuclear_palsy	Juvenile_idiopathic_arthritis
E051-H3K27me3	1.16753133492054	0.690673612535475	0.321823863843564	0.983463406512442	0.786234614042288	0.986199539191213	1.12978304712854	1	1.67662190666239	0.541424172224979	0.875519906547179	1.09366709923506	1.2896157204606	1.07256192913349	1	1	1	1	1	1	0.655015734808056	1	0.504143974907628	1.91309594180439	0.646572513229549	1	1	1.36315260241619	1	1	1	1	1.45588175945563	1.12245387270326	1	1	3.57941184006867	1.0130459760072	0.993878040660052
E029-H3K27me3	1.01155576961019	1	0.51896532639092	1	1	0.978035481291725	1	1	1.2095033925156	1	1	1.28711950004154	1	1	1	1	1.01590983013462	1	1.31310104559605	0.833238465698705	1	0.685832029233275	0.353432295302874	1.79168413279332	1	1	1	1	1	1	1	1	1	1	1	1	1.55496196751647	1.78888392346727	1
E029-H3K4me3	0.845962522546353	1	1	1	1	1	1	1	1	1	1.27133038163838	1	1	1	1	1	1.21139933713491	1	1	1.06150599314195	1	1	1.26238664696921	1	1	1	1	1	1	0.885674496021119	1	1	1	0.99828101260873	1	1	1	1	1
E050-H3K27me3	1.19435406874229	0.774717417069944	0.518138034187966	0.870766259410537	0.648881757224201	0.657323805093113	1.28301608152157	1	1.24054785788331	0.865541815431583	1	1.31314297944818	1	1	1	1	1	1	1.1758047018205	0.964533052134151	0.721454439298812	1	0.423520939622482	1.56773902928917	1	1	1	1	1	1	1.08461325650513	1	1	1.12442042410958	1	1	2.12120047083571	1	1
E115-H3K9me3	1	1	1	1	0.692555151112448	1	0.950592942796749	1.08961183135647	1	1	0.962499501107781	1	1	1	1	1	1	1	1	1	1	1	1	1	0.868455582079822	1.41199580332759	1	1	1.32734235355011	1	1	1	1.3907348795783	1	1	0.857417518822211	1	1.32724792549852	1
E031-H3K4me1	0.764202553653979	1	1	0.832594995580218	1	2.1608224223186	1	1	1	1.43185655832709	1.64873692603629	1	1.21651157328676	0.792209450616881	1	0.595450856494464	1.16182520245121	0.633589554240226	0.730944597206097	1.57548412196889	1	1	2.42137981666551	1	0.57834488041338	1	1	1	1	0.38712442270163	0.524528898997799	1.53449187307339	0.853863762164717	0.800670985320367	2.22207798084552	0.62208634011831	1	1	0.962385397863017
E124-H3K36me3	1	1.10915261035656	1	1	1.16296310485294	1.67275694907847	1	0.413718046152763	1	1.71716158463797	1.11131933929542	0.632333376063473	1.0288677606257	0.295958159788107	0.819171934543126	1	0.761747815600953	0.400704211216498	0.590451401086098	1.10650022605787	1	1	1.27871036646772	0.541475370901377	1.05504701609559	1	1	1.26920739378411	1	1	1	1	1	1	1	0.658078327616173	0.926996492468456	1	1
E033-H3K4me3	0.809610950341702	1	1	0.633802438164295	1	1	1	1	1	1	1.77037455550585	1	1	1	1	0.924361072399134	1.08057240078954	1	1	1.82045412001863	1.16827656490013	1	1.48634544687113	1	1	1	1	1	1	0.456199784950871	1	1.01097515466173	0.671814107764608	0.671205663335499	1	0.886866917329215	1	1	1
E116-H3K79me2	0.80989820824217	1	1	1	1	2.27632043606886	0.844423901384134	1	1	0.967417499986095	1.21283031280167	1	1.37041599321334	1.17730962124786	0.746079223469464	0.733282663902395	1	0.77696374026012	0.561159836375	1	1	1	2.04594941198551	0.98522785397696	1	1.17346403283106	1	1.06867771315737	1	0.475717895446596	1	0.741032813391664	0.788507009647058	0.851148015271815	1	1	1	1	1
E030-H3K27me3	1	1	0.843880856441799	0.960720260471996	1	1	1.01124488506709	1	1.11131533895932	0.671819008011648	0.85453370865242	1.13085587259564	1	1.14427842004768	1.29780625345498	1	1.03505137501869	1	1	1	0.948158462106887	1	0.520941278540317	1.53355169088123	1	1	0.89895465788565	1	1	1	1	1	1	1.08608454768971	1	1	1.57177988910178	1.18898580901864	1
E115-H3K4me2	0.766518504890372	1	1	1	1	1.34549555146705	1	1	1	1	1.42829945376594	1	1.60508782855478	1	1	1	1	1	0.867757213327811	1.58513443045636	1	1	2.53424165798679	1	1	1	1	1	1	0.380414498830573	1	1	0.961805511097354	0.888106023087144	1	0.638509770530383	1	1	1
E062-H3K4me3	0.945947129748908	0.985595993880688	1	0.976549989462793	1.02760173340261	1	1	1	1	1	1.18337894284374	1	1.38110483959439	1	0.59043261977596	1	1	1.31589924297757	1	1	1	1.55220498802632	1.03972682627973	1	1	1	1	1	1	1	1	1.71158029896833	1	0.889598511382468	1	0.923725745055303	1	1	1
E029-H3K27ac	0.717187097029466	1	1	1.17211186930219	1.54253472822179	1	1	0.83417696617498	1	1.23511352847356	1	1	1	1	1.15094944115209	1	1.37419909384276	0.399528351248177	1	1.18638549378154	1	1	1.73412983016309	0.916612579572151	1	1.07638450421639	1.14679877442377	1.3610596660092	1	1	0.995095198309021	1	0.759179670955409	1	1.13759598360145	0.688602530475833	0.815981076628087	0.375711898354009	1
E062-H3K27ac	0.577795704774593	0.884329329997058	1	0.706109570851505	1	1.15477840884374	1	0.987497430834736	1	1.57373879723318	1.49710421273213	1	1	0.867966091719039	1	0.77865125188071	1.12156706119053	1	0.669411669966027	2.01453735264408	1.0996544414736	1	1.3340667282301	1	0.946815462356783	1	1.35663584529562	1	1	0.679785735310223	0.874348948116927	1.68302631488278	0.819250202527649	0.936215337054118	2.22724235832494	1	0.775808031433125	1	1
E050-H3K9me3	1	1	1	0.964183893313045	0.931852740571956	1	1	1	1	1	1	1	1	0.771423920321902	1	1	1	1.17503620725714	1	1	1	1	1	1	1	1	1	0.736180528613721	1.06086249660567	1	1	1	1	1	1	1	1	1.36993857643219	1
E124-H3K9me3	1.76074885366905	0.888855712948231	0.870131433830117	0.97056597629759	0.796071379406836	0.675465410867885	1	1.58541199532427	1	1	0.865210757981894	1	1	1	1	0.85203547034224	1	1	1	0.729071509620197	1	1	0.697926938417298	0.841246770610335	1	1.4851303967755	0.937297473586566	0.981128075562964	1	0.980174175425474	1	1	1.70949587040543	1	1	1	1.89385392627951	1	0.85160150572553
E044-H3K4me3	0.538021887368125	1	1	0.701274309568229	1	1	1	1	2.56965249357312	1	1.74207486461869	1	1	0.987966173761501	1	0.819858113157312	1	1	1	1.73786846365325	1	1	1.41768236108263	1	0.549608012976801	1	1	1	1.04709668806581	0.665955146066382	1	1.49829227606565	0.760826684857239	0.725915303008562	1.21079581312978	0.833929480702939	1	0.885790784047009	1.16427184016909
E040-H3K27ac	0.760403401457624	1	1	0.688908070799746	1	1.25338293588588	1.19450863239611	1	1.50214764879344	1.16030413233054	1.41821898312499	1	1	0.625002251686736	0.778689802435827	0.857330088401086	1	1	0.549063279765739	1.38200271971202	1.24589533254306	1	1	1	0.636294702770047	1.21351283070207	1	1	1.2260368227723	0.868673848519281	0.597247267260322	1	0.715868023889757	0.688886709383288	1.29412238237444	1.05327242943939	0.702631805245251	0.715352448543709	1.43952099004142
E115-H3K4me3	0.735222988427703	1	1	1	1	1.28403273232974	1.00410581340953	1	1	1	1.45811263374383	1	1.54673180820823	1	1	0.990054967540003	1	1	0.975555965482241	1.22346886625357	1	1	2.1062161705664	1	0.984220782534876	1	1	1	1	0.867989037765946	1	1	1	0.725906346921555	1	0.91966861292473	1	1	1
E042-H3K9me3	1	1	1	0.746163828226173	0.783632344848045	1	1	1	1	1	1	1	1	0.595784448573077	1	1	1	1	1	1	1	1	1	1.72724023151915	1	1.10691094634178	1.00136276150892	1	1	0.954244194716703	0.891478843149674	1	1.21937875028509	1	1	1	1	0.941061457120939	1
E115-H4K20me1	1	1	1	1.02619528748983	1.50073022425949	1	0.636930269016327	0.789971414772064	1	1	0.92803878934761	1	1.03178046435632	1.03480388738342	1	1.02617064507723	1.22289871615178	1	1.22831108431019	1	1	0.711971076385813	1	1	1.15310256762421	1	1	1.46238773097904	0.807512531346073	1	1.03237322260439	1	1	1	1.71357984131565	0.846612835574091	1	1	0.837582823159413
E031-H3K4me3	0.699502478769158	1	1	0.939855511085337	1	1.41496091698388	0.955602154999016	1	1	1.30898509524126	1.39026101464446	1	2.1985835205351	1	1	0.794512849887169	1.15953095646379	1	1	1.14068457489141	1	1	2.90629215120179	1	1	1	1	1	1	0.571712981865073	0.638196614707678	1.70747627142111	0.81684620759545	0.835785864864345	1	0.967608179933001	1	1	1
E123-H3K4me2	0.794630291165926	1.39464710446872	0.752578081926183	1	1.3747638205626	1	0.785032842380287	1	1.04252239885182	1	1	1	1	1.11178227871406	1	1	1	0.704075020938447	1	1	1	0.748026365875253	1.1308963561467	1	1	1.02457185054569	1	1	0.978295974970003	1	1	1	1	0.818035538602325	1	1	1	1	1
E124-H3K4me2	0.770568091902481	1	1	1	1	1.06912209881276	0.998823064499574	1	1	1.86095178324811	1.17758360803769	1	1.04281657070627	0.938193149755536	1.16587695736982	1	1.47172909762127	0.960617278728419	1	1.51926845909711	1	1	1.53559997221488	1	0.921491824775025	1.01363529057133	1.14075505458465	1.10190822032312	1	0.897314583664375	0.882378831866507	1	1	0.928974411365321	1.00298958623112	0.792250824011666	1	0.706823529739352	1
E047-H3K36me3	1	1	1	1	1.2415636894655	1.26557355723061	1	0.84185677479039	1	1.31757534438582	1	1	1	0.812385169231987	0.846291927989823	1	0.949985159599681	1	1	1.07033391408546	1.04877965711492	1	1	0.68624803817922	1.14885255501636	1	1	1	1	1	1	1	0.972998530178638	1	1.96430158630339	1	1	1	1
E031-H3K9me3	1	1	1	1	0.836824616615371	1	1	1	1.02420858808045	1	1	1	1	0.855643857533847	1	1	1.17172076920648	1	1	1	1	1	1	1	0.825754299222487	1.09204513625005	1	1	1.0531587244185	0.912428635324811	1	1	1	1	1	1	1	1.31091898231872	1
E115-H3K36me3	0.863361339436147	1.18443424763949	1	1.05360732739893	1.23898848643919	1.66928308242794	1	0.773922319635807	0.973810057922259	1.00091197629947	1	0.783610090217031	1.19186913198687	1	0.613124796794179	1	0.986202536889681	1	0.686965716874981	1.0264945330503	1	1	1	0.855686443775536	1.41237185385116	1	1	1	0.970818895071536	0.858087563161281	1	1	0.999571314512786	1	2.02903070756983	0.350755979900806	1	1	0.990483287586331
E029-H3K4me1	0.559985205804355	1	1	1	1	1.25008271007414	1	1	1	1.70480778193669	1.30675937829356	1	1	0.719171392853974	1.24929080249861	1	1.30481972195601	0.755175320291586	0.883687808079373	1.47531067104202	1	1	1.38225613567581	1	0.898127524241244	1	1	1.14657407759225	1	0.824773613800718	0.772737863438911	1	0.992801205676334	1	1.5825995407807	0.791818636607459	1	0.699022629670551	1
E032-H3K27me3	1	1	0.568627951641672	1	1	0.495686040152123	1	1.13192718647804	1.00556397918271	0.97569229885719	0.850281602102054	1	0.638641359198978	1	1.55835577601123	1	1	1	1.53211725535917	1	1	1.07194511458685	0.324600032844229	2.43803128948373	1	0.804175587743373	1	1	1	1.37005306429104	1.37754938165941	1	1	1.09745367390609	0.782106571053216	1.29063011479137	1.36095935678228	1	1
E038-H3K9me3	1	1	1	1.08988665122153	0.754452627788829	0.718719842063884	0.926550208289195	1	1	1	1	1	1	1	1.10283491057382	0.885861028866884	0.906101315382308	1	1	1	1	1	1	1	1	1.04369332731241	0.811474029382348	1	1.32734235355011	1.08089364234188	1	1	1	1	1	1	0.850601441926153	1	1
