alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
15_RepetitiveCNV	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8_Insulator	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0886152930833	-1.0	-1.0	0.13934945311	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0335096561626	-1.0	-1.0	-1.0	-1.0	0.220968194855	-1.0	-1.0	-1.0	0.155911824443
13_Heterochromlo	0.340929236494	0.18389966449	0.297061998026	0.0179629319841	0.578161905892	-0.472062814375	0.320374110003	0.518110499144	-0.293201800662	0.340929236494	0.263242152856	-0.999156026236	-0.770843746152	0.340929236494	-0.83062724418	-0.750305071183	-0.201851423593	0.000444404507483	-0.201851423593	0.373571307449	0.584544856988	0.143233633062	-0.00481998318068	-0.0385962146563	0.177437323815	0.625631944865	-0.113036647323	-0.0190732982843	0.464961964984	-0.00295834416594	0.377483665033	0.772856410866	-0.0105641197529	-0.00902838081452	-0.0308567790193	1.0	1.0	-0.446176537205
7_Weak_Enhancer	0.359414178003	-1.0	-1.0	-1.0	0.440155768334	0.532586059308	0.0429057740958	-0.618542702448	0.464802998658	-1.0	0.440155768334	-1.0	0.0784554841456	-1.0	0.739243322359	-1.0	0.134517695564	-0.631480296189	0.488394806022	-1.0	-0.622403964387	-1.0	-0.622403964387	-1.0	0.33006796888	0.532586059308	0.312028321928	-1.0	-1.0	-1.0	-1.0	-1.0	0.0659520867749	1.0	0.0651523159314	-1.0	-1.0	-1.0
5_Strong_Enhancer	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.322714313525	0.21863178249	-1.0	0.20462518192	-1.0	-1.0	-1.0	0.279080004659	0.146234380392	0.232409055846	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.346641759423	-1.0	-1.0	0.36978227547	0.0257499554971	-1.0	-1.0	-1.0	-1.0	0.0115979998277	-1.0	-1.0	-1.0	-1.0	-1.0
6_Weak_Enhancer	-1.0	-1.0	-1.0	-1.0	0.24310426193	0.0470853038296	1.0	-1.0	0.259289453814	-1.0	-1.0	-1.0	-1.0	0.192528419364	-0.629766947973	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0149197332808	-1.0	-1.0	-1.0	0.429760764754	0.275148495735	-1.0	0.226586639919	-1.0	-1.0	-1.0	0.37753429371	-1.0	-1.0	0.335444924585	0.275148495735
srpRNA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SINE	-1.0	0.291739039769	-1.0	-1.0	-1.0	-1.0	-1.0	0.0460525821538	-1.0	-1.0	-1.0	0.210423646177	0.164347384329	-1.0	-0.614352580131	-1.0	-1.0	-1.0	0.217647691536	-1.0	-1.0	-1.0	-1.0	-1.0	0.136458438182	0.24310426193	-1.0	-1.0	0.359305510229	-1.0	0.291739039769	0.177977853594	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
scRNA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DNA?	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTR	-1.0	-1.0	0.489252074793	-1.0	-1.0	-1.0	0.251571666483	-1.0	-1.0	-1.0	-1.0	0.456210813601	-1.0	-1.0	0.364070287105	-1.0	-1.0	0.466193278898	-1.0	-1.0	0.429760764754	-1.0	-1.0	-1.0	0.0137628470388	0.305912697808	0.429760764754	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0751938077981	-1.0	-1.0	0.275148495735
RNA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
